#TEFF:4000 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
18250.0	35221.2539134
18350.0	34494.7515914
18450.0	33435.7728512
18550.0	33407.3184647
18650.0	32514.7760297
18750.0	31973.5984717
18850.0	31497.7296458
18950.0	30264.5517294
19050.0	30487.0885775
19150.0	29841.7028866
19250.0	29397.3581956
19350.0	28095.847208
19450.0	27285.4504567
19550.0	27425.104497
19650.0	27385.0391679
19750.0	25584.3392838
19850.0	25653.6170051
19950.0	25689.3405948
20050.0	25783.4825477
20150.0	25364.2852729
20250.0	24675.0074683
20350.0	24354.1895744
20450.0	24106.5531115
20550.0	23658.8304539
20650.0	23173.6341319
20750.0	22858.2066568
20850.0	22459.4787989
20950.0	21878.09919
21050.0	21731.6168403
21150.0	21300.0774612
21250.0	21025.7210128
21350.0	20766.7389419
21450.0	20423.698189
21550.0	20079.0146772
21650.0	19785.2245108
21750.0	19335.6431466
21850.0	19116.9909071
21950.0	18796.9766942
22050.0	18034.9331894
22150.0	18285.5236065
22250.0	17706.716772
22350.0	17555.2236165
22450.0	17321.2560988
22550.0	17157.35933
22650.0	16650.3155433
22750.0	16645.5951997
22850.0	16267.6764937
22950.0	14488.666787
23050.0	15109.739631
23150.0	15019.2009196
23250.0	13377.9048156
23350.0	13933.2857425
23450.0	14134.7221709
23550.0	12621.9299305
23650.0	13348.3479996
23750.0	13378.084805
23850.0	12082.4019789
23950.0	12627.1865713
24050.0	12733.3497274
24150.0	11713.6607948
24250.0	12056.6974288
24350.0	12166.6928087
24450.0	11519.7453218
24550.0	11396.2444245
24650.0	11697.6895798
24750.0	11306.7730349
24850.0	10892.6288194
24950.0	11131.5261773
25050.0	11207.6545866
25150.0	10585.9705377
25250.0	10751.0318749
25350.0	10711.6302777
25450.0	10442.9385982
25550.0	10337.4730176
25650.0	10274.7970094
25750.0	10249.8558173
25850.0	9890.30560421
25950.0	9896.14168181
26050.0	9858.3024676
26150.0	9731.75492571
26250.0	9562.03340325
26350.0	9490.88934796
26450.0	9373.4087947
26550.0	9286.34572927
26650.0	9069.46872647
26750.0	9150.09839493
26850.0	9020.10716336
26950.0	8877.34297239
27050.0	8798.71674014
27150.0	8703.92423737
27250.0	8599.78674907
27350.0	8485.71495274
27450.0	8408.48412231
27550.0	8327.80416991
27650.0	8195.13170605
27750.0	8084.00667526
27850.0	8005.95803055
27950.0	7933.03873423
28050.0	7824.75642552
28150.0	7709.48668056
28250.0	7630.96122398
28350.0	7557.45296609
28450.0	7452.56414135
28550.0	7361.09416228
28650.0	7274.73501085
28750.0	7195.92573667
28850.0	7103.62492505
28950.0	7016.71795052
29050.0	6918.75887559
29150.0	6839.2643461
29250.0	6675.89557726
29350.0	6664.93545636
29450.0	6594.17068585
29550.0	6517.3430335
29650.0	6446.17426306
29750.0	6372.08753042
29850.0	6284.71595609
29950.0	6202.71206381
30050.0	6135.93451708
30150.0	6069.24537575
30250.0	5982.33484935
30350.0	5919.21859866
30450.0	5857.77104957
30550.0	5780.93904884
30650.0	5706.57902483
30750.0	5649.86619241
30850.0	5555.65260015
30950.0	5513.86338907
